0
Diameter:	   5.88
   1.00
Area:	  27.1547
GaugeLength:	  50.00
2016-3-28
Aco 1020
1
DataNumber:	2093
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
 1908	 14.2960	  3.6162	   6.259	 381.795
 1909	 14.2880	  3.6199	   6.262	 381.995
 1910	 14.2800	  3.6224	   6.265	 382.195
 1911	 14.2720	  3.6262	   6.269	 382.395
 1912	 14.2600	  3.6287	   6.271	 382.595
 1913	 14.2520	  3.6324	   6.275	 382.795
 1914	 14.2440	  3.6349	   6.277	 382.995
 1915	 14.2320	  3.6387	   6.281	 383.195
 1916	 14.2240	  3.6424	   6.285	 383.395
 1917	 14.2160	  3.6449	   6.287	 383.595
 1918	 14.2080	  3.6487	   6.291	 383.795
 1919	 14.1960	  3.6512	   6.294	 383.995
 1920	 14.1880	  3.6549	   6.297	 384.195
 1921	 14.1760	  3.6587	   6.301	 384.395
 1922	 14.1680	  3.6612	   6.304	 384.595
 1923	 14.1600	  3.6649	   6.307	 384.795
 1924	 14.1520	  3.6674	   6.310	 384.995
 1925	 14.1400	  3.6712	   6.314	 385.195
 1926	 14.1320	  3.6737	   6.316	 385.395
 1927	 14.1240	  3.6774	   6.320	 385.595
 1928	 14.1120	  3.6799	   6.322	 385.795
 1929	 14.1040	  3.6837	   6.326	 385.995
 1930	 14.0960	  3.6874	   6.330	 386.195
 1931	 14.0880	  3.6899	   6.332	 386.395
 1932	 14.0760	  3.6937	   6.336	 386.595
 1933	 14.0680	  3.6962	   6.339	 386.795
 1934	 14.0600	  3.6999	   6.342	 386.995
 1935	 14.0480	  3.7037	   6.346	 387.195
 1936	 14.0400	  3.7062	   6.349	 387.395
 1937	 14.0320	  3.7099	   6.352	 387.595
 1938	 14.0200	  3.7137	   6.356	 387.795
 1939	 14.0120	  3.7162	   6.359	 387.995
 1940	 14.0000	  3.7199	   6.362	 388.195
 1941	 13.9920	  3.7224	   6.365	 388.395
 1942	 13.9840	  3.7262	   6.369	 388.595
 1943	 13.9720	  3.7299	   6.372	 388.795
 1944	 13.9640	  3.7324	   6.375	 388.995
 1945	 13.9520	  3.7362	   6.379	 389.195
 1946	 13.9440	  3.7387	   6.381	 389.395
 1947	 13.9320	  3.7424	   6.385	 389.595
 1948	 13.9240	  3.7462	   6.389	 389.795
 1949	 13.9120	  3.7487	   6.391	 389.995
 1950	 13.9040	  3.7524	   6.395	 390.195
 1951	 13.8920	  3.7549	   6.398	 390.395
 1952	 13.8840	  3.7587	   6.401	 390.595
 1953	 13.8760	  3.7624	   6.405	 390.795
 1954	 13.8640	  3.7649	   6.407	 390.995
 1955	 13.8560	  3.7687	   6.411	 391.195
 1956	 13.8440	  3.7724	   6.415	 391.395
 1957	 13.8360	  3.7749	   6.418	 391.595
 1958	 13.8240	  3.7787	   6.421	 391.795
 1959	 13.8160	  3.7812	   6.424	 391.995
 1960	 13.8040	  3.7849	   6.427	 392.195
 1961	 13.7960	  3.7887	   6.431	 392.395
 1962	 13.7840	  3.7912	   6.434	 392.595
 1963	 13.7760	  3.7949	   6.438	 392.795
 1964	 13.7640	  3.7974	   6.440	 392.995
 1965	 13.7560	  3.8012	   6.444	 393.195
 1966	 13.7440	  3.8049	   6.447	 393.395
 1967	 13.7360	  3.8074	   6.450	 393.595
 1968	 13.7240	  3.8112	   6.454	 393.795
 1969	 13.7160	  3.8137	   6.456	 393.995
 1970	 13.7040	  3.8174	   6.460	 394.195
 1971	 13.6960	  3.8212	   6.464	 394.395
 1972	 13.6840	  3.8237	   6.466	 394.595
 1973	 13.6760	  3.8274	   6.470	 394.795
 1974	 13.6640	  3.8299	   6.472	 394.995
 1975	 13.6560	  3.8337	   6.476	 395.195
 1976	 13.6440	  3.8374	   6.480	 395.395
 1977	 13.6320	  3.8399	   6.483	 395.595
 1978	 13.6240	  3.8437	   6.486	 395.795
 1979	 13.6120	  3.8474	   6.490	 395.995
 1980	 13.6000	  3.8499	   6.492	 396.195
 1981	 13.5880	  3.8537	   6.496	 396.395
 1982	 13.5800	  3.8562	   6.499	 396.595
 1983	 13.5680	  3.8599	   6.503	 396.795
 1984	 13.5600	  3.8637	   6.506	 396.995
 1985	 13.5480	  3.8662	   6.509	 397.195
 1986	 13.5400	  3.8699	   6.512	 397.395
 1987	 13.5280	  3.8737	   6.516	 397.595
 1988	 13.5160	  3.8762	   6.519	 397.795
 1989	 13.5040	  3.8799	   6.523	 397.995
 1990	 13.4960	  3.8824	   6.525	 398.195
 1991	 13.4840	  3.8862	   6.529	 398.395
 1992	 13.4720	  3.8899	   6.532	 398.595
 1993	 13.4640	  3.8924	   6.535	 398.795
 1994	 13.4520	  3.8962	   6.539	 398.995
 1995	 13.4400	  3.8987	   6.541	 399.195
 1996	 13.4280	  3.9024	   6.545	 399.395
 1997	 13.4200	  3.9062	   6.549	 399.595
 1998	 13.4080	  3.9087	   6.551	 399.795
 1999	 13.3960	  3.9124	   6.555	 399.995
 2000	 13.3840	  3.9162	   6.559	 400.195
 2001	 13.3760	  3.9187	   6.561	 400.395
 2002	 13.3680	  3.9224	   6.565	 400.595
 2003	 13.3520	  3.9249	   6.567	 400.795
 2004	 13.3440	  3.9287	   6.571	 400.995
 2005	 13.3320	  3.9324	   6.575	 401.195
 2006	 13.3200	  3.9349	   6.577	 401.395
 2007	 13.3080	  3.9387	   6.581	 401.595
 2008	 13.3000	  3.9424	   6.585	 401.795
 2009	 13.2880	  3.9449	   6.587	 401.995
 2010	 13.2760	  3.9487	   6.591	 402.195
 2011	 13.2640	  3.9524	   6.595	 402.395
 2012	 13.2520	  3.9549	   6.597	 402.595
 2013	 13.2400	  3.9587	   6.601	 402.795
 2014	 13.2320	  3.9612	   6.604	 402.995
 2015	 13.2200	  3.9649	   6.608	 403.195
 2016	 13.2080	  3.9687	   6.611	 403.395
 2017	 13.2000	  3.9712	   6.614	 403.595
 2018	 13.1840	  3.9749	   6.617	 403.795
 2019	 13.1720	  3.9787	   6.621	 403.995
 2020	 13.1600	  3.9812	   6.624	 404.195
 2021	 13.1480	  3.9849	   6.628	 404.395
 2022	 13.1360	  3.9887	   6.631	 404.595
 2023	 13.1240	  3.9912	   6.634	 404.795
 2024	 13.1120	  3.9949	   6.637	 404.995
 2025	 13.1000	  3.9974	   6.640	 405.195
 2026	 13.0920	  4.0012	   6.644	 405.395
 2027	 13.0800	  4.0049	   6.648	 405.595
 2028	 13.0680	  4.0074	   6.650	 405.795
 2029	 13.0560	  4.0112	   6.654	 405.995
 2030	 13.0440	  4.0149	   6.657	 406.195
 2031	 13.0320	  4.0174	   6.660	 406.395
 2032	 13.0200	  4.0212	   6.664	 406.595
 2033	 13.0080	  4.0237	   6.666	 406.795
 2034	 12.9960	  4.0274	   6.670	 406.995
 2035	 12.9800	  4.0312	   6.674	 407.195
 2036	 12.9720	  4.0337	   6.676	 407.395
 2037	 12.9600	  4.0374	   6.680	 407.595
 2038	 12.9480	  4.0412	   6.684	 407.795
 2039	 12.9360	  4.0437	   6.686	 407.995
 2040	 12.9200	  4.0474	   6.690	 408.195
 2041	 12.9120	  4.0499	   6.692	 408.395
 2042	 12.8960	  4.0537	   6.696	 408.595
 2043	 12.8840	  4.0574	   6.700	 408.795
 2044	 12.8720	  4.0599	   6.702	 408.995
 2045	 12.8600	  4.0637	   6.706	 409.195
 2046	 12.8480	  4.0674	   6.710	 409.395
 2047	 12.8360	  4.0699	   6.712	 409.595
 2048	 12.8240	  4.0737	   6.716	 409.795
 2049	 12.8120	  4.0762	   6.719	 409.995
 2050	 12.8000	  4.0799	   6.722	 410.195
 2051	 12.7880	  4.0837	   6.726	 410.395
 2052	 12.7720	  4.0862	   6.729	 410.595
 2053	 12.7600	  4.0899	   6.733	 410.795
 2054	 12.7480	  4.0937	   6.736	 410.995
 2055	 12.7320	  4.0962	   6.739	 411.195
 2056	 12.7200	  4.0999	   6.742	 411.395
 2057	 12.7080	  4.1037	   6.746	 411.595
 2058	 12.6960	  4.1062	   6.749	 411.795
 2059	 12.6840	  4.1099	   6.753	 411.995
 2060	 12.6680	  4.1124	   6.755	 412.195
 2061	 12.6560	  4.1162	   6.759	 412.395
 2062	 12.6440	  4.1199	   6.762	 412.595
 2063	 12.6280	  4.1224	   6.765	 412.795
 2064	 12.6160	  4.1262	   6.769	 412.995
 2065	 12.6000	  4.1299	   6.773	 413.195
 2066	 12.5880	  4.1324	   6.775	 413.395
 2067	 12.5760	  4.1362	   6.779	 413.595
 2068	 12.5640	  4.1399	   6.782	 413.795
 2069	 12.5520	  4.1424	   6.785	 413.995
 2070	 12.5360	  4.1462	   6.789	 414.195
 2071	 12.5240	  4.1487	   6.791	 414.395
 2072	 12.5120	  4.1524	   6.795	 414.595
 2073	 12.4960	  4.1562	   6.799	 414.795
 2074	 12.4840	  4.1587	   6.801	 414.995
 2075	 12.4680	  4.1624	   6.805	 415.195
 2076	 12.4560	  4.1662	   6.809	 415.395
 2077	 12.4400	  4.1687	   6.811	 415.595
 2078	 12.4240	  4.1724	   6.815	 415.795
 2079	 12.4080	  4.1762	   6.819	 415.995
 2080	 12.4000	  4.1787	   6.821	 416.195
 2081	 12.3800	  4.1824	   6.825	 416.395
 2082	 12.3640	  4.1862	   6.829	 416.595
 2083	 12.3480	  4.1887	   6.831	 416.795
 2084	 12.3320	  4.1924	   6.835	 416.995
 2085	 12.3160	  4.1962	   6.839	 417.195
 2086	 12.3000	  4.1987	   6.841	 417.395
 2087	 12.2840	  4.2024	   6.845	 417.595
 2088	 12.2640	  4.2049	   6.847	 417.795
 2089	 12.2440	  4.2087	   6.851	 417.995
 2090	 12.2200	  4.2124	   6.855	 418.195
 2091	 12.1880	  4.2149	   6.858	 418.395
 2092	 12.1120	  4.2187	   6.861	 418.595
ControlMode:	0
Rate:	  1.0000
(null)
4
step	1
0
5.000000
0.000000
1
1
0.500000
2
step	2
1
5.000000
0.000000
1
1
2.000000
3
step	3
5
2.000000
0.000000
1
0
30.000000
4
step	4
8
0.000000
0.000000
0
0
0.000000
0
2
