0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2016-4-13
1020
001
DataNumber:	4830
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  124	  3.2820	  0.0380	   0.410	  24.995
  125	  3.3040	  0.0380	   0.412	  25.195
  126	  3.3260	  0.0400	   0.416	  25.395
  127	  3.3480	  0.0400	   0.419	  25.595
  128	  3.3700	  0.0400	   0.422	  25.795
  129	  3.3920	  0.0400	   0.426	  25.995
  130	  3.4120	  0.0400	   0.429	  26.195
  131	  3.4320	  0.0400	   0.433	  26.395
  132	  3.4500	  0.0400	   0.436	  26.595
  133	  3.4720	  0.0400	   0.439	  26.795
  134	  3.4900	  0.0400	   0.442	  26.995
  135	  3.5120	  0.0400	   0.445	  27.195
  136	  3.5320	  0.0400	   0.449	  27.395
  137	  3.5520	  0.0420	   0.452	  27.595
  138	  3.5740	  0.0420	   0.455	  27.795
  139	  3.5920	  0.0420	   0.459	  27.995
  140	  3.6140	  0.0420	   0.462	  28.195
  141	  3.6340	  0.0420	   0.465	  28.395
  142	  3.6540	  0.0420	   0.469	  28.595
  143	  3.6760	  0.0420	   0.472	  28.795
  144	  3.6960	  0.0440	   0.475	  28.995
  145	  3.7180	  0.0420	   0.479	  29.195
  146	  3.7360	  0.0440	   0.482	  29.395
  147	  3.7560	  0.0440	   0.485	  29.595
  148	  3.7780	  0.0440	   0.489	  29.795
  149	  3.7980	  0.0440	   0.491	  29.995
  150	  3.8200	  0.0440	   0.495	  30.195
  151	  3.8400	  0.0440	   0.499	  30.395
  152	  3.8620	  0.0440	   0.501	  30.595
  153	  3.8820	  0.0440	   0.505	  30.795
  154	  3.9020	  0.0440	   0.509	  30.995
  155	  3.9240	  0.0460	   0.511	  31.195
  156	  3.9420	  0.0460	   0.515	  31.395
  157	  3.9640	  0.0460	   0.519	  31.595
  158	  3.9840	  0.0460	   0.521	  31.795
  159	  4.0060	  0.0460	   0.525	  31.995
  160	  4.0260	  0.0460	   0.527	  32.195
  161	  4.0460	  0.0460	   0.531	  32.395
  162	  4.0680	  0.0460	   0.535	  32.595
  163	  4.0880	  0.0460	   0.537	  32.795
  164	  4.1080	  0.0480	   0.541	  32.995
  165	  4.1300	  0.0480	   0.545	  33.195
  166	  4.1500	  0.0480	   0.548	  33.395
  167	  4.1720	  0.0480	   0.551	  33.595
  168	  4.1920	  0.0480	   0.555	  33.795
  169	  4.2120	  0.0480	   0.558	  33.995
  170	  4.2340	  0.0480	   0.561	  34.195
  171	  4.2540	  0.0480	   0.564	  34.395
  172	  4.2760	  0.0500	   0.567	  34.595
  173	  4.2960	  0.0500	   0.571	  34.795
  174	  4.3180	  0.0500	   0.574	  34.995
  175	  4.3380	  0.0500	   0.577	  35.195
  176	  4.3580	  0.0500	   0.581	  35.395
  177	  4.3780	  0.0500	   0.584	  35.595
  178	  4.3980	  0.0500	   0.587	  35.795
  179	  4.4200	  0.0500	   0.591	  35.995
  180	  4.4400	  0.0500	   0.594	  36.195
  181	  4.4600	  0.0500	   0.597	  36.395
  182	  4.4820	  0.0520	   0.600	  36.595
  183	  4.5060	  0.0520	   0.604	  36.795
  184	  4.5300	  0.0520	   0.607	  36.995
  185	  4.5540	  0.0520	   0.610	  37.195
  186	  4.5780	  0.0520	   0.614	  37.395
  187	  4.5980	  0.0520	   0.618	  37.595
  188	  4.6180	  0.0520	   0.620	  37.795
  189	  4.6380	  0.0520	   0.624	  37.995
  190	  4.6580	  0.0520	   0.627	  38.195
  191	  4.6760	  0.0540	   0.630	  38.395
  192	  4.6940	  0.0540	   0.634	  38.595
  193	  4.7120	  0.0540	   0.636	  38.795
  194	  4.7260	  0.0540	   0.640	  38.995
  195	  4.7380	  0.0540	   0.644	  39.195
  196	  4.7480	  0.0540	   0.646	  39.395
  197	  4.7540	  0.0540	   0.650	  39.595
  198	  4.7580	  0.0540	   0.652	  39.795
  199	  4.7600	  0.0520	   0.656	  39.995
  200	  4.7660	  0.0520	   0.660	  40.195
  201	  4.7760	  0.0520	   0.662	  40.395
  202	  4.7880	  0.0520	   0.666	  40.595
  203	  4.8020	  0.0520	   0.670	  40.795
  204	  4.8180	  0.0520	   0.673	  40.995
  205	  4.8360	  0.0520	   0.676	  41.195
  206	  4.8520	  0.0540	   0.679	  41.395
  207	  4.8680	  0.0540	   0.683	  41.595
  208	  4.8840	  0.0520	   0.686	  41.795
  209	  4.9000	  0.0540	   0.689	  41.995
  210	  4.9140	  0.0540	   0.692	  42.195
  211	  4.9300	  0.0540	   0.695	  42.395
  212	  4.9440	  0.0540	   0.699	  42.595
  213	  4.9600	  0.0540	   0.702	  42.795
  214	  4.9740	  0.0540	   0.705	  42.995
  215	  4.9900	  0.0560	   0.709	  43.195
  216	  5.0040	  0.0560	   0.712	  43.395
  217	  5.0180	  0.0560	   0.715	  43.595
  218	  5.0320	  0.0560	   0.719	  43.795
  219	  5.0460	  0.0560	   0.721	  43.995
  220	  5.0600	  0.0560	   0.725	  44.195
  221	  5.0740	  0.0580	   0.729	  44.395
  222	  5.0880	  0.0580	   0.731	  44.595
  223	  5.1000	  0.0580	   0.735	  44.795
  224	  5.1140	  0.0580	   0.739	  44.995
  225	  5.1280	  0.0600	   0.741	  45.195
  226	  5.1400	  0.0600	   0.745	  45.395
  227	  5.1540	  0.0600	   0.749	  45.595
  228	  5.1680	  0.0600	   0.751	  45.795
  229	  5.1800	  0.0600	   0.755	  45.995
  230	  5.1920	  0.0620	   0.759	  46.195
  231	  5.2040	  0.0620	   0.761	  46.395
  232	  5.2160	  0.0620	   0.765	  46.595
  233	  5.2280	  0.0640	   0.767	  46.795
  234	  5.2380	  0.0640	   0.771	  46.995
  235	  5.2500	  0.0640	   0.775	  47.195
  236	  5.2640	  0.0640	   0.777	  47.395
  237	  5.2760	  0.0660	   0.781	  47.595
  238	  5.2900	  0.0660	   0.785	  47.795
  239	  5.3040	  0.0680	   0.787	  47.995
  240	  5.3160	  0.0680	   0.791	  48.195
  241	  5.3280	  0.0680	   0.795	  48.395
  242	  5.3420	  0.0700	   0.797	  48.595
  243	  5.3540	  0.0700	   0.801	  48.795
  244	  5.3680	  0.0720	   0.804	  48.995
  245	  5.3820	  0.0720	   0.808	  49.195
  246	  5.3920	  0.0720	   0.811	  49.395
  247	  5.4060	  0.0740	   0.814	  49.595
  248	  5.4160	  0.0740	   0.817	  49.795
  249	  5.4280	  0.0740	   0.820	  49.995
  250	  5.4400	  0.0760	   0.824	  50.195
  251	  5.4520	  0.0760	   0.827	  50.395
  252	  5.4620	  0.0780	   0.830	  50.595
  253	  5.4720	  0.0780	   0.834	  50.795
  254	  5.4820	  0.0800	   0.837	  50.995
  255	  5.4940	  0.0800	   0.840	  51.195
