0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2016-4-13
1020
001
DataNumber:	4830
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
 1171	  8.0700	  2.3280	   3.831	 234.395
 1172	  8.0720	  2.3300	   3.835	 234.595
 1173	  8.0760	  2.3320	   3.839	 234.795
 1174	  8.0780	  2.3360	   3.842	 234.995
 1175	  8.0800	  2.3380	   3.845	 235.195
 1176	  8.0820	  2.3400	   3.849	 235.395
 1177	  8.0840	  2.3420	   3.852	 235.595
 1178	  8.0880	  2.3460	   3.856	 235.795
 1179	  8.0900	  2.3480	   3.859	 235.995
 1180	  8.0940	  2.3500	   3.862	 236.195
 1181	  8.0960	  2.3520	   3.866	 236.395
 1182	  8.0980	  2.3560	   3.870	 236.595
 1183	  8.1000	  2.3580	   3.872	 236.795
 1184	  8.1020	  2.3600	   3.876	 236.995
 1185	  8.1040	  2.3620	   3.880	 237.195
 1186	  8.1060	  2.3640	   3.884	 237.395
 1187	  8.1060	  2.3660	   3.886	 237.595
 1188	  8.1100	  2.3700	   3.890	 237.795
 1189	  8.1140	  2.3720	   3.894	 237.995
 1190	  8.1160	  2.3740	   3.897	 238.195
 1191	  8.1180	  2.3780	   3.900	 238.395
 1192	  8.1200	  2.3800	   3.904	 238.595
 1193	  8.1220	  2.3820	   3.908	 238.795
 1194	  8.1240	  2.3840	   3.910	 238.995
 1195	  8.1260	  2.3860	   3.914	 239.195
 1196	  8.1280	  2.3900	   3.918	 239.395
 1197	  8.1300	  2.3920	   3.920	 239.595
 1198	  8.1320	  2.3940	   3.924	 239.795
 1199	  8.1360	  2.3960	   3.928	 239.995
 1200	  8.1380	  2.3980	   3.931	 240.195
 1201	  8.1400	  2.4020	   3.934	 240.395
 1202	  8.1420	  2.4040	   3.938	 240.595
 1203	  8.1460	  2.4060	   3.941	 240.795
 1204	  8.1480	  2.4100	   3.945	 240.995
 1205	  8.1480	  2.4120	   3.947	 241.195
 1206	  8.1500	  2.4140	   3.951	 241.395
 1207	  8.1540	  2.4160	   3.955	 241.595
 1208	  8.1560	  2.4180	   3.959	 241.795
 1209	  8.1580	  2.4220	   3.961	 241.995
 1210	  8.1620	  2.4240	   3.965	 242.195
 1211	  8.1640	  2.4260	   3.969	 242.395
 1212	  8.1660	  2.4260	   3.972	 242.595
 1213	  8.1680	  2.4260	   3.975	 242.795
 1214	  8.1680	  2.4300	   3.979	 242.995
 1215	  8.1720	  2.4320	   3.982	 243.195
 1216	  8.1740	  2.4340	   3.985	 243.395
 1217	  8.1760	  2.4360	   3.989	 243.595
 1218	  8.1780	  2.4400	   3.992	 243.795
 1219	  8.1800	  2.4420	   3.995	 243.995
 1220	  8.1840	  2.4440	   3.999	 244.195
 1221	  8.1860	  2.4460	   4.003	 244.395
 1222	  8.1880	  2.4500	   4.006	 244.595
 1223	  8.1900	  2.4520	   4.009	 244.795
 1224	  8.1920	  2.4540	   4.012	 244.995
 1225	  8.1940	  2.4580	   4.016	 245.195
 1226	  8.1960	  2.4600	   4.020	 245.395
 1227	  8.1980	  2.4620	   4.023	 245.595
 1228	  8.2000	  2.4640	   4.026	 245.795
 1229	  8.2040	  2.4660	   4.030	 245.995
 1230	  8.2060	  2.4700	   4.034	 246.195
 1231	  8.2080	  2.4720	   4.036	 246.395
 1232	  8.2100	  2.4740	   4.040	 246.595
 1233	  8.2120	  2.4780	   4.044	 246.795
 1234	  8.2140	  2.4800	   4.048	 246.995
 1235	  8.2160	  2.4820	   4.050	 247.195
 1236	  8.2180	  2.4840	   4.054	 247.395
 1237	  8.2200	  2.4860	   4.057	 247.595
 1238	  8.2220	  2.4900	   4.060	 247.795
 1239	  8.2260	  2.4920	   4.064	 247.995
 1240	  8.2280	  2.4940	   4.068	 248.195
 1241	  8.2280	  2.4960	   4.071	 248.395
 1242	  8.2320	  2.4980	   4.074	 248.595
 1243	  8.2340	  2.5020	   4.077	 248.795
 1244	  8.2360	  2.5040	   4.081	 248.995
 1245	  8.2400	  2.5060	   4.085	 249.195
 1246	  8.2400	  2.5100	   4.088	 249.395
 1247	  8.2420	  2.5120	   4.091	 249.595
 1248	  8.2440	  2.5140	   4.095	 249.795
 1249	  8.2440	  2.5160	   4.097	 249.995
 1250	  8.2480	  2.5180	   4.101	 250.195
 1251	  8.2500	  2.5220	   4.105	 250.395
 1252	  8.2520	  2.5240	   4.109	 250.595
 1253	  8.2560	  2.5260	   4.111	 250.795
 1254	  8.2580	  2.5300	   4.115	 250.995
 1255	  8.2600	  2.5320	   4.119	 251.195
 1256	  8.2620	  2.5340	   4.122	 251.395
 1257	  8.2620	  2.5360	   4.125	 251.595
 1258	  8.2660	  2.5380	   4.129	 251.795
 1259	  8.2680	  2.5420	   4.132	 251.995
 1260	  8.2700	  2.5440	   4.135	 252.195
 1261	  8.2720	  2.5460	   4.139	 252.395
 1262	  8.2740	  2.5480	   4.142	 252.595
 1263	  8.2760	  2.5500	   4.146	 252.795
 1264	  8.2780	  2.5540	   4.149	 252.995
 1265	  8.2820	  2.5560	   4.152	 253.195
 1266	  8.2820	  2.5580	   4.156	 253.395
 1267	  8.2840	  2.5600	   4.159	 253.595
 1268	  8.2860	  2.5640	   4.162	 253.795
 1269	  8.2880	  2.5660	   4.166	 253.995
 1270	  8.2900	  2.5680	   4.169	 254.195
 1271	  8.2920	  2.5720	   4.173	 254.395
 1272	  8.2940	  2.5740	   4.176	 254.595
 1273	  8.2980	  2.5760	   4.180	 254.795
 1274	  8.2980	  2.5780	   4.182	 254.995
 1275	  8.3020	  2.5820	   4.186	 255.195
 1276	  8.3040	  2.5840	   4.190	 255.395
 1277	  8.3060	  2.5860	   4.193	 255.595
 1278	  8.3080	  2.5880	   4.196	 255.795
 1279	  8.3080	  2.5920	   4.200	 255.995
 1280	  8.3100	  2.5940	   4.202	 256.195
 1281	  8.3140	  2.5960	   4.206	 256.395
 1282	  8.3160	  2.6000	   4.210	 256.595
 1283	  8.3180	  2.6020	   4.213	 256.795
 1284	  8.3200	  2.6040	   4.216	 256.995
 1285	  8.3220	  2.6060	   4.220	 257.195
 1286	  8.3240	  2.6080	   4.222	 257.395
 1287	  8.3260	  2.6120	   4.226	 257.595
 1288	  8.3280	  2.6140	   4.230	 257.795
 1289	  8.3300	  2.6160	   4.234	 257.995
 1290	  8.3320	  2.6180	   4.236	 258.195
 1291	  8.3360	  2.6220	   4.240	 258.395
 1292	  8.3360	  2.6240	   4.244	 258.595
 1293	  8.3400	  2.6260	   4.246	 258.795
 1294	  8.3420	  2.6300	   4.250	 258.995
 1295	  8.3440	  2.6320	   4.254	 259.195
 1296	  8.3460	  2.6340	   4.256	 259.395
 1297	  8.3480	  2.6360	   4.260	 259.595
 1298	  8.3500	  2.6380	   4.264	 259.795
 1299	  8.3520	  2.6420	   4.267	 259.995
 1300	  8.3540	  2.6440	   4.270	 260.195
 1301	  8.3560	  2.6460	   4.274	 260.395
 1302	  8.3580	  2.6480	   4.277	 260.595
 1303	  8.3600	  2.6520	   4.280	 260.795
 1304	  8.3640	  2.6540	   4.284	 260.995
 1305	  8.3660	  2.6560	   4.287	 261.195
 1306	  8.3680	  2.6600	   4.290	 261.395
 1307	  8.3700	  2.6600	   4.294	 261.595
 1308	  8.3720	  2.6640	   4.298	 261.795
 1309	  8.3740	  2.6660	   4.300	 261.995
 1310	  8.3760	  2.6700	   4.304	 262.195
 1311	  8.3780	  2.6720	   4.307	 262.395
 1312	  8.3800	  2.6740	   4.310	 262.595
 1313	  8.3820	  2.6760	   4.314	 262.795
 1314	  8.3840	  2.6780	   4.318	 262.995
 1315	  8.3860	  2.6820	   4.321	 263.195
 1316	  8.3880	  2.6840	   4.324	 263.395
 1317	  8.3900	  2.6860	   4.327	 263.595
 1318	  8.3900	  2.6900	   4.331	 263.795
 1319	  8.3940	  2.6920	   4.334	 263.995
 1320	  8.3960	  2.6940	   4.338	 264.195
 1321	  8.3980	  2.6960	   4.341	 264.395
 1322	  8.4000	  2.7000	   4.344	 264.595
 1323	  8.4020	  2.7020	   4.347	 264.795
 1324	  8.4040	  2.7040	   4.351	 264.995
 1325	  8.4060	  2.7080	   4.354	 265.195
 1326	  8.4080	  2.7100	   4.358	 265.395
 1327	  8.4080	  2.7120	   4.361	 265.595
 1328	  8.4120	  2.7160	   4.365	 265.795
 1329	  8.4140	  2.7180	   4.367	 265.995
 1330	  8.4140	  2.7200	   4.371	 266.195
 1331	  8.4180	  2.7220	   4.375	 266.395
 1332	  8.4180	  2.7240	   4.378	 266.595
 1333	  8.4220	  2.7280	   4.381	 266.795
 1334	  8.4260	  2.7300	   4.385	 266.995
 1335	  8.4260	  2.7320	   4.387	 267.195
 1336	  8.4280	  2.7360	   4.391	 267.395
 1337	  8.4300	  2.7380	   4.395	 267.595
 1338	  8.4320	  2.7400	   4.398	 267.795
 1339	  8.4340	  2.7420	   4.401	 267.995
 1340	  8.4340	  2.7460	   4.405	 268.195
 1341	  8.4360	  2.7480	   4.407	 268.395
 1342	  8.4380	  2.7500	   4.411	 268.595
 1343	  8.4420	  2.7520	   4.415	 268.795
 1344	  8.4420	  2.7560	   4.419	 268.995
 1345	  8.4460	  2.7580	   4.421	 269.195
 1346	  8.4460	  2.7600	   4.425	 269.395
 1347	  8.4500	  2.7620	   4.429	 269.595
 1348	  8.4520	  2.7660	   4.431	 269.795
 1349	  8.4520	  2.7680	   4.435	 269.995
 1350	  8.4540	  2.7700	   4.439	 270.195
 1351	  8.4560	  2.7740	   4.441	 270.395
 1352	  8.4580	  2.7760	   4.445	 270.595
 1353	  8.4620	  2.7780	   4.449	 270.795
 1354	  8.4620	  2.7800	   4.451	 270.995
 1355	  8.4660	  2.7840	   4.455	 271.195
 1356	  8.4680	  2.7860	   4.459	 271.395
 1357	  8.4700	  2.7880	   4.461	 271.595
 1358	  8.4700	  2.7900	   4.465	 271.795
 1359	  8.4720	  2.7940	   4.469	 271.995
 1360	  8.4740	  2.7960	   4.471	 272.195
 1361	  8.4760	  2.7980	   4.475	 272.395
 1362	  8.4780	  2.8020	   4.479	 272.595
 1363	  8.4800	  2.8040	   4.481	 272.795
 1364	  8.4820	  2.8060	   4.485	 272.995
 1365	  8.4840	  2.8060	   4.489	 273.195
 1366	  8.4840	  2.8080	   4.491	 273.395
 1367	  8.4860	  2.8100	   4.495	 273.595
 1368	  8.4880	  2.8140	   4.499	 273.795
 1369	  8.4920	  2.8160	   4.501	 273.995
 1370	  8.4920	  2.8180	   4.505	 274.195
 1371	  8.4940	  2.8220	   4.509	 274.395
 1372	  8.4960	  2.8240	   4.511	 274.595
 1373	  8.5000	  2.8260	   4.515	 274.795
 1374	  8.5000	  2.8280	   4.519	 274.995
 1375	  8.5040	  2.8320	   4.521	 275.195
 1376	  8.5040	  2.8340	   4.525	 275.395
 1377	  8.5080	  2.8360	   4.529	 275.595
 1378	  8.5080	  2.8400	   4.531	 275.795
 1379	  8.5100	  2.8420	   4.535	 275.995
 1380	  8.5120	  2.8440	   4.539	 276.195
 1381	  8.5140	  2.8460	   4.541	 276.395
 1382	  8.5160	  2.8500	   4.545	 276.595
 1383	  8.5180	  2.8520	   4.549	 276.795
 1384	  8.5200	  2.8540	   4.551	 276.995
 1385	  8.5200	  2.8560	   4.555	 277.195
 1386	  8.5240	  2.8600	   4.559	 277.395
 1387	  8.5260	  2.8620	   4.561	 277.595
 1388	  8.5260	  2.8640	   4.565	 277.795
 1389	  8.5280	  2.8680	   4.569	 277.995
 1390	  8.5300	  2.8700	   4.571	 278.195
 1391	  8.5320	  2.8720	   4.575	 278.395
 1392	  8.5340	  2.8740	   4.579	 278.595
 1393	  8.5360	  2.8780	   4.581	 278.795
 1394	  8.5360	  2.8800	   4.585	 278.995
 1395	  8.5380	  2.8820	   4.589	 279.195
 1396	  8.5400	  2.8840	   4.591	 279.395
 1397	  8.5420	  2.8880	   4.595	 279.595
 1398	  8.5440	  2.8900	   4.599	 279.795
 1399	  8.5460	  2.8920	   4.601	 279.995
 1400	  8.5480	  2.8960	   4.605	 280.195
 1401	  8.5500	  2.8980	   4.609	 280.395
 1402	  8.5520	  2.9000	   4.611	 280.595
 1403	  8.5520	  2.9020	   4.615	 280.795
 1404	  8.5540	  2.9060	   4.617	 280.995
 1405	  8.5560	  2.9080	   4.621	 281.195
 1406	  8.5600	  2.9100	   4.625	 281.395
 1407	  8.5600	  2.9140	   4.628	 281.595
 1408	  8.5620	  2.9160	   4.631	 281.795
 1409	  8.5640	  2.9180	   4.635	 281.995
 1410	  8.5660	  2.9200	   4.637	 282.195
 1411	  8.5680	  2.9240	   4.641	 282.395
 1412	  8.5700	  2.9260	   4.645	 282.595
 1413	  8.5700	  2.9280	   4.648	 282.795
 1414	  8.5720	  2.9300	   4.651	 282.995
 1415	  8.5740	  2.9340	   4.655	 283.195
 1416	  8.5760	  2.9360	   4.657	 283.395
 1417	  8.5780	  2.9380	   4.661	 283.595
 1418	  8.5800	  2.9420	   4.665	 283.795
 1419	  8.5820	  2.9440	   4.668	 283.995
 1420	  8.5840	  2.9460	   4.671	 284.195
 1421	  8.5860	  2.9500	   4.675	 284.395
 1422	  8.5880	  2.9520	   4.677	 284.595
 1423	  8.5900	  2.9540	   4.681	 284.795
 1424	  8.5920	  2.9560	   4.685	 284.995
 1425	  8.5920	  2.9600	   4.688	 285.195
 1426	  8.5940	  2.9620	   4.691	 285.395
 1427	  8.5960	  2.9640	   4.694	 285.595
 1428	  8.5980	  2.9680	   4.697	 285.795
 1429	  8.6000	  2.9700	   4.701	 285.995
 1430	  8.6000	  2.9720	   4.704	 286.195
 1431	  8.6020	  2.9740	   4.707	 286.395
 1432	  8.6040	  2.9780	   4.711	 286.595
 1433	  8.6060	  2.9800	   4.714	 286.795
 1434	  8.6080	  2.9820	   4.717	 286.995
 1435	  8.6100	  2.9840	   4.720	 287.195
 1436	  8.6120	  2.9880	   4.724	 287.395
 1437	  8.6140	  2.9900	   4.727	 287.595
 1438	  8.6160	  2.9920	   4.730	 287.795
 1439	  8.6180	  2.9940	   4.734	 287.995
 1440	  8.6180	  2.9980	   4.736	 288.195
 1441	  8.6200	  3.0000	   4.740	 288.395
 1442	  8.6220	  3.0020	   4.742	 288.595
 1443	  8.6240	  3.0040	   4.746	 288.795
 1444	  8.6240	  3.0080	   4.750	 288.995
 1445	  8.6260	  3.0100	   4.753	 289.195
 1446	  8.6260	  3.0120	   4.756	 289.395
 1447	  8.6280	  3.0160	   4.759	 289.595
 1448	  8.6320	  3.0180	   4.762	 289.795
 1449	  8.6340	  3.0200	   4.765	 289.995
 1450	  8.6360	  3.0220	   4.769	 290.195
 1451	  8.6380	  3.0240	   4.773	 290.395
 1452	  8.6380	  3.0280	   4.775	 290.595
 1453	  8.6400	  3.0300	   4.779	 290.795
 1454	  8.6420	  3.0320	   4.781	 290.995
 1455	  8.6440	  3.0340	   4.785	 291.195
 1456	  8.6460	  3.0380	   4.787	 291.395
 1457	  8.6460	  3.0400	   4.791	 291.595
 1458	  8.6480	  3.0420	   4.795	 291.795
 1459	  8.6500	  3.0460	   4.797	 291.995
 1460	  8.6520	  3.0480	   4.801	 292.195
 1461	  8.6540	  3.0500	   4.804	 292.395
 1462	  8.6540	  3.0520	   4.807	 292.595
 1463	  8.6560	  3.0560	   4.810	 292.795
 1464	  8.6580	  3.0580	   4.814	 292.995
 1465	  8.6600	  3.0600	   4.818	 293.195
 1466	  8.6620	  3.0620	   4.820	 293.395
 1467	  8.6640	  3.0660	   4.824	 293.595
 1468	  8.6660	  3.0680	   4.826	 293.795
 1469	  8.6680	  3.0700	   4.830	 293.995
 1470	  8.6700	  3.0740	   4.834	 294.195
 1471	  8.6700	  3.0760	   4.836	 294.395
 1472	  8.6740	  3.0760	   4.840	 294.595
 1473	  8.6740	  3.0780	   4.842	 294.795
 1474	  8.6760	  3.0800	   4.846	 294.995
 1475	  8.6780	  3.0820	   4.849	 295.195
 1476	  8.6780	  3.0860	   4.852	 295.395
 1477	  8.6800	  3.0880	   4.855	 295.595
 1478	  8.6820	  3.0900	   4.859	 295.795
 1479	  8.6840	  3.0940	   4.862	 295.995
 1480	  8.6860	  3.0960	   4.865	 296.195
 1481	  8.6880	  3.0980	   4.869	 296.395
 1482	  8.6880	  3.1020	   4.871	 296.595
 1483	  8.6900	  3.1040	   4.875	 296.795
 1484	  8.6920	  3.1060	   4.879	 296.995
 1485	  8.6940	  3.1100	   4.881	 297.195
 1486	  8.6960	  3.1120	   4.885	 297.395
 1487	  8.6960	  3.1140	   4.887	 297.595
 1488	  8.6980	  3.1160	   4.891	 297.795
 1489	  8.7000	  3.1200	   4.894	 297.995
 1490	  8.7020	  3.1220	   4.898	 298.195
 1491	  8.7040	  3.1240	   4.900	 298.395
 1492	  8.7060	  3.1260	   4.904	 298.595
 1493	  8.7060	  3.1300	   4.907	 298.795
 1494	  8.7080	  3.1320	   4.910	 298.995
 1495	  8.7100	  3.1340	   4.914	 299.195
 1496	  8.7120	  3.1360	   4.916	 299.395
 1497	  8.7120	  3.1400	   4.920	 299.595
 1498	  8.7140	  3.1420	   4.924	 299.795
 1499	  8.7160	  3.1440	   4.926	 299.995
 1500	  8.7180	  3.1460	   4.930	 300.195
 1501	  8.7200	  3.1500	   4.932	 300.395
 1502	  8.7220	  3.1520	   4.936	 300.595
 1503	  8.7240	  3.1560	   4.939	 300.795
 1504	  8.7260	  3.1580	   4.943	 300.995
 1505	  8.7260	  3.1600	   4.946	 301.195
 1506	  8.7280	  3.1620	   4.949	 301.395
 1507	  8.7280	  3.1660	   4.952	 301.595
 1508	  8.7300	  3.1680	   4.955	 301.795
 1509	  8.7320	  3.1700	   4.959	 301.995
 1510	  8.7340	  3.1720	   4.961	 302.195
 1511	  8.7360	  3.1760	   4.965	 302.395
 1512	  8.7380	  3.1780	   4.969	 302.595
 1513	  8.7400	  3.1800	   4.971	 302.795
 1514	  8.7400	  3.1820	   4.975	 302.995
 1515	  8.7440	  3.1860	   4.977	 303.195
 1516	  8.7440	  3.1880	   4.981	 303.395
 1517	  8.7440	  3.1900	   4.984	 303.595
 1518	  8.7460	  3.1940	   4.987	 303.795
 1519	  8.7480	  3.1960	   4.990	 303.995
 1520	  8.7480	  3.1980	   4.994	 304.195
 1521	  8.7520	  3.2020	   4.997	 304.395
 1522	  8.7520	  3.2040	   5.000	 304.595
 1523	  8.7540	  3.2060	   5.004	 304.795
 1524	  8.7560	  3.2080	   5.006	 304.995
 1525	  8.7580	  3.2100	   5.010	 305.195
 1526	  8.7600	  3.2140	   5.014	 305.395
 1527	  8.7600	  3.2160	   5.016	 305.595
 1528	  8.7600	  3.2180	   5.020	 305.795
 1529	  8.7620	  3.2220	   5.023	 305.995
 1530	  8.7640	  3.2240	   5.026	 306.195
 1531	  8.7660	  3.2260	   5.029	 306.395
 1532	  8.7680	  3.2280	   5.032	 306.595
 1533	  8.7700	  3.2320	   5.035	 306.795
 1534	  8.7720	  3.2340	   5.039	 306.995
 1535	  8.7720	  3.2360	   5.041	 307.195
 1536	  8.7740	  3.2380	   5.045	 307.395
 1537	  8.7760	  3.2420	   5.049	 307.595
 1538	  8.7780	  3.2440	   5.051	 307.795
 1539	  8.7780	  3.2460	   5.055	 307.995
 1540	  8.7800	  3.2500	   5.057	 308.195
 1541	  8.7820	  3.2520	   5.061	 308.395
 1542	  8.7840	  3.2540	   5.064	 308.595
 1543	  8.7840	  3.2560	   5.068	 308.795
 1544	  8.7860	  3.2600	   5.070	 308.995
 1545	  8.7880	  3.2620	   5.074	 309.195
 1546	  8.7900	  3.2640	   5.077	 309.395
 1547	  8.7920	  3.2680	   5.080	 309.595
 1548	  8.7940	  3.2700	   5.084	 309.795
 1549	  8.7940	  3.2720	   5.086	 309.995
 1550	  8.7940	  3.2740	   5.090	 310.195
 1551	  8.7960	  3.2780	   5.092	 310.395
 1552	  8.7980	  3.2800	   5.096	 310.595
 1553	  8.8000	  3.2820	   5.100	 310.795
 1554	  8.8000	  3.2860	   5.102	 310.995
 1555	  8.8020	  3.2880	   5.106	 311.195
 1556	  8.8040	  3.2900	   5.109	 311.395
 1557	  8.8060	  3.2920	   5.112	 311.595
 1558	  8.8060	  3.2960	   5.115	 311.795
 1559	  8.8080	  3.2980	   5.119	 311.995
 1560	  8.8080	  3.3000	   5.121	 312.195
 1561	  8.8100	  3.3020	   5.125	 312.395
 1562	  8.8120	  3.3060	   5.129	 312.595
 1563	  8.8140	  3.3080	   5.131	 312.795
 1564	  8.8160	  3.3120	   5.135	 312.995
 1565	  8.8180	  3.3140	   5.137	 313.195
 1566	  8.8200	  3.3160	   5.141	 313.395
 1567	  8.8200	  3.3180	   5.144	 313.595
 1568	  8.8220	  3.3220	   5.148	 313.795
 1569	  8.8240	  3.3240	   5.150	 313.995
 1570	  8.8240	  3.3260	   5.154	 314.195
 1571	  8.8260	  3.3300	   5.156	 314.395
 1572	  8.8280	  3.3320	   5.160	 314.595
 1573	  8.8300	  3.3340	   5.164	 314.795
 1574	  8.8320	  3.3360	   5.166	 314.995
 1575	  8.8320	  3.3400	   5.170	 315.195
 1576	  8.8340	  3.3420	   5.172	 315.395
 1577	  8.8360	  3.3440	   5.176	 315.595
 1578	  8.8380	  3.3480	   5.179	 315.795
 1579	  8.8380	  3.3500	   5.182	 315.995
 1580	  8.8400	  3.3520	   5.185	 316.195
 1581	  8.8420	  3.3540	   5.189	 316.395
 1582	  8.8440	  3.3580	   5.191	 316.595
 1583	  8.8440	  3.3600	   5.195	 316.795
 1584	  8.8460	  3.3620	   5.199	 316.995
 1585	  8.8480	  3.3660	   5.201	 317.195
 1586	  8.8500	  3.3680	   5.205	 317.395
 1587	  8.8520	  3.3700	   5.207	 317.595
 1588	  8.8520	  3.3740	   5.211	 317.795
 1589	  8.8540	  3.3760	   5.214	 317.995
 1590	  8.8540	  3.3780	   5.217	 318.195
 1591	  8.8560	  3.3800	   5.220	 318.395
 1592	  8.8580	  3.3840	   5.224	 318.595
 1593	  8.8600	  3.3860	   5.227	 318.795
 1594	  8.8620	  3.3880	   5.230	 318.995
 1595	  8.8640	  3.3920	   5.234	 319.195
 1596	  8.8640	  3.3940	   5.236	 319.395
 1597	  8.8660	  3.3980	   5.240	 319.595
 1598	  8.8680	  3.4000	   5.242	 319.795
 1599	  8.8680	  3.4020	   5.246	 319.995
 1600	  8.8700	  3.4060	   5.249	 320.195
 1601	  8.8720	  3.4080	   5.253	 320.395
 1602	  8.8720	  3.4100	   5.255	 320.595
 1603	  8.8740	  3.4120	   5.259	 320.795
 1604	  8.8760	  3.4140	   5.261	 320.995
 1605	  8.8780	  3.4180	   5.265	 321.195
 1606	  8.8800	  3.4200	   5.269	 321.395
 1607	  8.8820	  3.4220	   5.271	 321.595
 1608	  8.8820	  3.4260	   5.275	 321.795
 1609	  8.8820	  3.4280	   5.277	 321.995
 1610	  8.8840	  3.4320	   5.281	 322.195
 1611	  8.8860	  3.4340	   5.284	 322.395
 1612	  8.8860	  3.4360	   5.287	 322.595
 1613	  8.8880	  3.4380	   5.290	 322.795
 1614	  8.8900	  3.4420	   5.294	 322.995
 1615	  8.8920	  3.4440	   5.296	 323.195
 1616	  8.8940	  3.4460	   5.300	 323.395
 1617	  8.8940	  3.4500	   5.304	 323.595
 1618	  8.8960	  3.4520	   5.306	 323.795
 1619	  8.8980	  3.4540	   5.310	 323.995
 1620	  8.9000	  3.4580	   5.312	 324.195
 1621	  8.9000	  3.4600	   5.316	 324.395
 1622	  8.9020	  3.4620	   5.319	 324.595
 1623	  8.9020	  3.4660	   5.322	 324.795
 1624	  8.9040	  3.4680	   5.325	 324.995
 1625	  8.9040	  3.4700	   5.329	 325.195
 1626	  8.9060	  3.4740	   5.331	 325.395
 1627	  8.9100	  3.4760	   5.335	 325.595
 1628	  8.9100	  3.4780	   5.338	 325.795
 1629	  8.9120	  3.4800	   5.341	 325.995
 1630	  8.9120	  3.4840	   5.344	 326.195
 1631	  8.9140	  3.4860	   5.347	 326.395
 1632	  8.9140	  3.4880	   5.351	 326.595
 1633	  8.9160	  3.4900	   5.354	 326.795
 1634	  8.9200	  3.4940	   5.358	 326.995
 1635	  8.9220	  3.4960	   5.360	 327.195
 1636	  8.9220	  3.5000	   5.364	 327.395
 1637	  8.9240	  3.5020	   5.366	 327.595
 1638	  8.9240	  3.5040	   5.370	 327.795
 1639	  8.9260	  3.5060	   5.372	 327.995
 1640	  8.9260	  3.5100	   5.376	 328.195
 1641	  8.9280	  3.5120	   5.380	 328.395
 1642	  8.9300	  3.5140	   5.382	 328.595
 1643	  8.9300	  3.5180	   5.386	 328.795
 1644	  8.9320	  3.5200	   5.389	 328.995
 1645	  8.9340	  3.5220	   5.392	 329.195
 1646	  8.9360	  3.5240	   5.395	 329.395
 1647	  8.9380	  3.5280	   5.399	 329.595
 1648	  8.9380	  3.5300	   5.401	 329.795
 1649	  8.9400	  3.5340	   5.405	 329.995
 1650	  8.9400	  3.5360	   5.407	 330.195
 1651	  8.9440	  3.5380	   5.411	 330.395
 1652	  8.9440	  3.5400	   5.414	 330.595
 1653	  8.9440	  3.5440	   5.418	 330.795
 1654	  8.9460	  3.5460	   5.420	 330.995
 1655	  8.9480	  3.5480	   5.424	 331.195
 1656	  8.9500	  3.5520	   5.427	 331.395
 1657	  8.9500	  3.5540	   5.430	 331.595
 1658	  8.9520	  3.5560	   5.434	 331.795
 1659	  8.9540	  3.5600	   5.436	 331.995
 1660	  8.9540	  3.5620	   5.440	 332.195
 1661	  8.9560	  3.5640	   5.443	 332.395
 1662	  8.9580	  3.5680	   5.446	 332.595
 1663	  8.9580	  3.5700	   5.449	 332.795
 1664	  8.9600	  3.5720	   5.452	 332.995
 1665	  8.9600	  3.5760	   5.455	 333.195
 1666	  8.9620	  3.5740	   5.459	 333.395
 1667	  8.9640	  3.5760	   5.461	 333.595
 1668	  8.9660	  3.5800	   5.465	 333.795
 1669	  8.9660	  3.5820	   5.469	 333.995
 1670	  8.9680	  3.5840	   5.471	 334.195
 1671	  8.9680	  3.5880	   5.475	 334.395
 1672	  8.9700	  3.5900	   5.477	 334.595
 1673	  8.9720	  3.5920	   5.481	 334.795
 1674	  8.9740	  3.5960	   5.484	 334.995
 1675	  8.9740	  3.5980	   5.487	 335.195
 1676	  8.9760	  3.6000	   5.490	 335.395
 1677	  8.9780	  3.6020	   5.494	 335.595
 1678	  8.9780	  3.6060	   5.496	 335.795
 1679	  8.9800	  3.6080	   5.500	 335.995
 1680	  8.9820	  3.6120	   5.503	 336.195
 1681	  8.9820	  3.6140	   5.506	 336.395
 1682	  8.9840	  3.6160	   5.510	 336.595
 1683	  8.9860	  3.6200	   5.512	 336.795
 1684	  8.9860	  3.6220	   5.516	 336.995
 1685	  8.9880	  3.6240	   5.519	 337.195
 1686	  8.9900	  3.6260	   5.523	 337.395
 1687	  8.9900	  3.6300	   5.525	 337.595
 1688	  8.9920	  3.6320	   5.529	 337.795
 1689	  8.9940	  3.6360	   5.531	 337.995
 1690	  8.9940	  3.6380	   5.535	 338.195
 1691	  8.9960	  3.6400	   5.537	 338.395
 1692	  8.9980	  3.6440	   5.541	 338.595
 1693	  8.9980	  3.6460	   5.544	 338.795
 1694	  9.0000	  3.6480	   5.547	 338.995
 1695	  9.0000	  3.6500	   5.550	 339.195
 1696	  9.0520	  3.6600	   5.561	 339.395
 1697	  9.0560	  3.6620	   5.565	 339.595
 1698	  9.0560	  3.6660	   5.569	 339.795
 1699	  9.0560	  3.6680	   5.571	 339.995
 1700	  9.0560	  3.6700	   5.575	 340.195
 1701	  9.0560	  3.6740	   5.577	 340.395
 1702	  9.0560	  3.6760	   5.581	 340.595
 1703	  9.0600	  3.6780	   5.584	 340.795
 1704	  9.0600	  3.6800	   5.588	 340.995
